// SpatialAnalyzer SA 2018.12.07_49785 ( x64 )  
// Points Relative to Coordinate Frame 'Block frame calcs 16Apr19::Block 1 frame'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Group,  Point,  X,  Y,  Z

Block 1 Center Split points projected,  Block 1 Center Split_160 on object,  4.3,  0.1,  1032.2
Block 1 Center Split points projected,  Block 1 Center Split_161 on object,  4.3,  0.1,  1042.3
Block 1 Center Split points projected,  Block 1 Center Split_162 on object,  4.4,  0.1,  1053.4
Block 1 Center Split points projected,  Block 1 Center Split_163 on object,  4.4,  0.1,  1065.5
Block 1 Center Split points projected,  Block 1 Center Split_164 on object,  4.4,  0.1,  1077.2
Block 1 Center Split points projected,  Block 1 Center Split_165 on object,  4.2,  0.1,  1089.7
Block 1 Center Split points projected,  Block 1 Center Split_166 on object,  4.4,  0.1,  1101.5
Block 1 Center Split points projected,  Block 1 Center Split_167 on object,  4.6,  0.1,  1113.9
Block 1 Center Split points projected,  Block 1 Center Split_168 on object,  4.6,  0.1,  1124.4
Block 1 Center Split points projected,  Block 1 Center Split_169 on object,  3.7,  0.1,  1135.8
Block 1 Center Split points projected,  Block 1 Center Split_170 on object,  3.9,  0.1,  1146.8
Block 1 Center Split points projected,  Block 1 Center Split_171 on object,  4.3,  0.1,  1158.7
Block 1 Center Split points projected,  Block 1 Center Split_172 on object,  3.6,  0.1,  1169.5
Block 1 Center Split points projected,  Block 1 Center Split_173 on object,  4.7,  0.1,  1179.5
Block 1 Center Split points projected,  Block 1 Center Split_174 on object,  4.6,  0.1,  1189.8
Block 1 Center Split points projected,  Block 1 Center Split_175 on object,  4.8,  0.1,  1200.3
Block 1 Center Split points projected,  Block 1 Center Split_176 on object,  4.5,  0.1,  1210.8
Block 1 Center Split points projected,  Block 1 Center Split_177 on object,  4.9,  0.1,  1222.3
Block 1 Center Split points projected,  Block 1 Center Split_178 on object,  4.9,  0.1,  1232.5
Block 1 Center Split points projected,  Block 1 Center Split_179 on object,  4.8,  0.1,  1243.8
Block 1 Center Split points projected,  Block 1 Center Split_180 on object,  5.1,  0.1,  1253.9
Block 1 Center Split points projected,  Block 1 Center Split_181 on object,  5.4,  0.1,  1264.0
Block 1 Center Split points projected,  Block 1 Center Split_182 on object,  5.2,  0.1,  1275.2
Block 1 Center Split points projected,  Block 1 Center Split_183 on object,  5.3,  0.1,  1285.6
Block 2 Center Split points projected,  Block 2 Center Split_1 on object,  -6.9,  4201.3,  -1232.4
Block 2 Center Split points projected,  Block 2 Center Split_2 on object,  -6.9,  4201.4,  -1221.1
Block 2 Center Split points projected,  Block 2 Center Split_3 on object,  -6.9,  4201.4,  -1211.1
Block 2 Center Split points projected,  Block 2 Center Split_4 on object,  -6.9,  4201.4,  -1200.1
Block 2 Center Split points projected,  Block 2 Center Split_5 on object,  -6.9,  4201.5,  -1189.1
Block 2 Center Split points projected,  Block 2 Center Split_6 on object,  -6.9,  4201.5,  -1178.9
Block 2 Center Split points projected,  Block 2 Center Split_7 on object,  -6.9,  4201.5,  -1164.8
Block 2 Center Split points projected,  Block 2 Center Split_8 on object,  -7.0,  4201.6,  -1153.8
Block 2 Center Split points projected,  Block 2 Center Split_9 on object,  -7.0,  4201.6,  -1142.2
Block 2 Center Split points projected,  Block 2 Center Split_10 on object,  -7.0,  4201.6,  -1131.6
Block 2 Center Split points projected,  Block 2 Center Split_11 on object,  -7.0,  4201.6,  -1120.9
Block 2 Center Split points projected,  Block 2 Center Split_12 on object,  -7.0,  4201.7,  -1109.0
Block 2 Center Split points projected,  Block 2 Center Split_13 on object,  -7.0,  4201.7,  -1096.3
Block 2 Center Split points projected,  Block 2 Center Split_14 on object,  -7.0,  4201.8,  -1084.5
Block 2 Center Split points projected,  Block 2 Center Split_15 on object,  -7.0,  4201.8,  -1069.0
Block 2 Center Split points projected,  Block 2 Center Split_16 on object,  -7.0,  4201.8,  -1057.9
Block 2 Center Split points projected,  Block 2 Center Split_17 on object,  -7.0,  4201.9,  -1047.6
Block 2 Center Split points projected,  Block 2 Center Split_18 on object,  -7.0,  4201.9,  -1035.5
Block 2 Center Split points projected,  Block 2 Center Split_19 on object,  -7.0,  4201.9,  -1024.3
Block 2 Center Split points projected,  Block 2 Center Split_20 on object,  -7.0,  4202.0,  -1012.1
Block 2 Center Split points projected,  Block 2 Center Split_21 on object,  -7.0,  4202.0,  -1001.7
Block 2 Center Split points projected,  Block 2 Center Split_22 on object,  -6.9,  4202.0,  -987.8
Block 2 Center Split points projected,  Block 2 Center Split_23 on object,  -7.0,  4202.1,  -971.8
Block 2 Center Split points projected,  Block 2 Center Split_24 on object,  -6.9,  4202.1,  -961.2
Block 2 Center Split points projected,  Block 2 Center Split_25 on object,  -7.0,  4202.1,  -951.0
Block 2 Center Split points projected,  Block 2 Center Split_26 on object,  -6.9,  4202.1,  -940.9
Block 2 Center Split points projected,  Block 2 Center Split_27 on object,  -6.9,  4202.2,  -930.5
Block 2 Center Split points projected,  Block 2 Center Split_28 on object,  -6.9,  4202.2,  -916.7
